DV,Model,Variable,Coefficient,SE,p_value,N
Donations,M1 Baseline,imgrnt_support,0.025064978042406018,0.03319238075541438,0.45016347306814286,1287
Donations,M1 Baseline,econ_support,-0.041056973965021504,0.05168873629398859,0.42701392721788656,1287
Donations,M1 Baseline,enforce_binary,-0.023247540680555567,0.11608284850293513,0.8412719257977974,1287
Donations,M1 Baseline,npoprovider_c,0.008434388337196955,0.031343075869448775,0.7878535499365763,1287
Donations,M1 Baseline,ln_employee,0.19687377743383358,0.038613639814706,3.4225557336066306e-07,1287
Donations,M1 Baseline,ln_assets,0.3978121079903819,0.038997838537456316,1.96492521955304e-24,1287
Donations,M1 Baseline,ln_pop_z,-0.10418723064101516,0.0673553720662242,0.12190452889472671,1287
Donations,M1 Baseline,pct_foreign_born_z,-0.21653067667839127,0.06922452680954733,0.0017603169828735619,1287
Donations,M1 Baseline,ses_index,-0.023500185456590737,0.0692546664689089,0.7343611507763315,1287
Donations,M1 Baseline,dem_share_z,0.15204443394518913,0.06621821205917226,0.021669476088719743,1287
Donations,M2 Moderation,imgrnt_support,0.02226920492208536,0.0324052137948192,0.4919500546064258,1287
Donations,M2 Moderation,econ_support,-0.034350398933492864,0.05301139351964437,0.5169969568026997,1287
Donations,M2 Moderation,enforce_binary,-0.016130496674347183,0.1148418667714429,0.8882978748975714,1287
Donations,M2 Moderation,npoprovider_c,-0.0014701259376661488,0.0507932672855062,0.9769097933806098,1287
Donations,M2 Moderation,imgrnt_support:npoprovider_c,-0.012793966019962202,0.01423704511595645,0.36884490216615173,1287
Donations,M2 Moderation,econ_support:npoprovider_c,0.003619347542549528,0.031889024000616245,0.9096355721861313,1287
Donations,M2 Moderation,enforce_binary:npoprovider_c,0.07321219761229936,0.055039424719014504,0.18345983607320526,1287
Donations,M2 Moderation,ln_employee,0.19588661809790905,0.03909392394515068,5.42418230333666e-07,1287
Donations,M2 Moderation,ln_assets,0.3983244033677745,0.038940251730446275,1.468517275456713e-24,1287
Donations,M2 Moderation,ln_pop_z,-0.10986303487682283,0.0749433288432845,0.14266241075458305,1287
Donations,M2 Moderation,pct_foreign_born_z,-0.20379243987375628,0.07885359895151653,0.009753711367223767,1287
Donations,M2 Moderation,ses_index,-0.019089141775950065,0.06754484638342202,0.7774724911646134,1287
Donations,M2 Moderation,dem_share_z,0.15858515808189116,0.06921949544524018,0.02196066147930686,1287
Gov Grants,M1 Baseline,imgrnt_support,0.017393780908233694,0.06962043741962479,0.8027131863444626,1287
Gov Grants,M1 Baseline,econ_support,0.31357890085053053,0.1336004934761828,0.018918206268582767,1287
Gov Grants,M1 Baseline,enforce_binary,-0.4758938372680872,0.33550720918805205,0.15606496073782952,1287
Gov Grants,M1 Baseline,npoprovider_c,-0.1594478569745768,0.09924831098042029,0.1081520500346948,1287
Gov Grants,M1 Baseline,ln_employee,2.3771196130813266,0.09586544194173281,9.798980281211027e-136,1287
Gov Grants,M1 Baseline,ln_assets,0.11464617327935692,0.050253101691642266,0.022526262081656624,1287
Gov Grants,M1 Baseline,ln_pop_z,-0.5286314830472685,0.18902505124276667,0.005164002364023232,1287
Gov Grants,M1 Baseline,pct_foreign_born_z,-0.11389408179528406,0.256734776185417,0.6573133991511372,1287
Gov Grants,M1 Baseline,ses_index,0.12316935661135553,0.20756978534692536,0.5529217215151181,1287
Gov Grants,M1 Baseline,dem_share_z,0.25007383660936244,0.18700963779488927,0.18114942415429858,1287
Gov Grants,M2 Moderation,imgrnt_support,0.03589482134011564,0.06945743309884067,0.6053036209946021,1287
Gov Grants,M2 Moderation,econ_support,0.3463494591119874,0.17804959860074934,0.051745925415062524,1287
Gov Grants,M2 Moderation,enforce_binary,-0.4791390344120597,0.3228576310061413,0.13779387583203548,1287
Gov Grants,M2 Moderation,npoprovider_c,-0.03334253007883213,0.15598333161201577,0.8307365535796468,1287
Gov Grants,M2 Moderation,imgrnt_support:npoprovider_c,0.005092406253594306,0.04920371459104569,0.9175690238466857,1287
Gov Grants,M2 Moderation,econ_support:npoprovider_c,-0.05297914891125885,0.11484084106821518,0.6445642150865234,1287
Gov Grants,M2 Moderation,enforce_binary:npoprovider_c,-0.24232065111112167,0.18352820814491444,0.1867196774031361,1287
Gov Grants,M2 Moderation,ln_employee,2.3775636659751145,0.093921978148867,2.2263555340017836e-141,1287
Gov Grants,M2 Moderation,ln_assets,0.11374842182964275,0.05067913580153313,0.024801388349039156,1287
Gov Grants,M2 Moderation,ln_pop_z,-0.45350699961571217,0.1949405836037874,0.019997980092733982,1287
Gov Grants,M2 Moderation,pct_foreign_born_z,-0.19561761365955424,0.26885123224715746,0.4668551620395106,1287
Gov Grants,M2 Moderation,ses_index,0.11837112014391094,0.20232208328834314,0.5585055055474408,1287
Gov Grants,M2 Moderation,dem_share_z,0.2456323024572319,0.1876025767511757,0.19042508125155866,1287
Gov Grants,M3a Hurdle P1,imgrnt_support,0.003141576882428702,0.03460197486936269,0.9276579959285745,1287
Gov Grants,M3a Hurdle P1,econ_support,0.15137286094650615,0.09067007939602857,0.09502015747813095,1287
Gov Grants,M3a Hurdle P1,enforce_binary,-0.2380157306109019,0.16125256561122986,0.13993233262347143,1287
Gov Grants,M3a Hurdle P1,npoprovider_c,-0.03931635561631941,0.07545938178028876,0.6023481445107493,1287
Gov Grants,M3a Hurdle P1,imgrnt_support:npoprovider_c,0.008864041293366508,0.023619170820342778,0.7074447181722298,1287
Gov Grants,M3a Hurdle P1,econ_support:npoprovider_c,-0.0073391677230490015,0.0570434384257398,0.8976272572995073,1287
Gov Grants,M3a Hurdle P1,enforce_binary:npoprovider_c,-0.10627426886405518,0.08978951495529726,0.2365740914311789,1287
Gov Grants,M3a Hurdle P1,ln_employee,0.9353093718980353,0.06725897518158877,5.817370332806784e-44,1287
Gov Grants,M3a Hurdle P1,ln_assets,0.04238756898197666,0.03354893287373539,0.20642568755326873,1287
Gov Grants,M3a Hurdle P1,ln_pop_z,-0.18141826038192713,0.1069143235627576,0.08972380176677354,1287
Gov Grants,M3a Hurdle P1,pct_foreign_born_z,-0.10007835465355099,0.14049429532192925,0.47626021631021154,1287
Gov Grants,M3a Hurdle P1,ses_index,0.09994928473307471,0.10865497850217237,0.3576367070516562,1287
Gov Grants,M3a Hurdle P1,dem_share_z,0.13412080674203994,0.09611796713604111,0.1629021641625087,1287
Gov Grants,M3b Hurdle P2,imgrnt_support,0.061093278246786786,0.03533164702707255,0.08378447667380481,554
Gov Grants,M3b Hurdle P2,econ_support,0.03529900485217946,0.06199762781168104,0.569111468065538,554
Gov Grants,M3b Hurdle P2,enforce_binary,0.03338551505788824,0.1353632447907303,0.8051895647309257,554
Gov Grants,M3b Hurdle P2,npoprovider_c,-0.009315675971609982,0.0700092212403507,0.8941431164329143,554
Gov Grants,M3b Hurdle P2,imgrnt_support:npoprovider_c,-0.0015479287932484848,0.014821835737845807,0.9168235929226523,554
Gov Grants,M3b Hurdle P2,econ_support:npoprovider_c,-0.10893436685856367,0.04088521438326631,0.007712690582793614,554
Gov Grants,M3b Hurdle P2,enforce_binary:npoprovider_c,-0.031715094111063234,0.05933266007498114,0.5929748139802292,554
Gov Grants,M3b Hurdle P2,ln_employee,0.6802892244809398,0.06313215035727089,4.48658786013112e-27,554
Gov Grants,M3b Hurdle P2,ln_assets,0.27372142322976667,0.05116566299494739,8.809562362161624e-08,554
Gov Grants,M3b Hurdle P2,ln_pop_z,-0.07309266868138639,0.08731487381012171,0.4025274269952198,554
Gov Grants,M3b Hurdle P2,pct_foreign_born_z,-0.06178595146633495,0.09874036751297088,0.5314844697209467,554
Gov Grants,M3b Hurdle P2,ses_index,-0.009573578241470905,0.08308107567102477,0.9082614286586043,554
Gov Grants,M3b Hurdle P2,dem_share_z,0.017909477469375032,0.08007595873549331,0.823024899599057,554
Prog Rev,M1 Baseline,imgrnt_support,0.00634787232735444,0.07223581481671308,0.9299743752782554,1287
Prog Rev,M1 Baseline,econ_support,0.016175462147484092,0.1365048925356331,0.905673628826482,1287
Prog Rev,M1 Baseline,enforce_binary,-0.46611822388860324,0.3318110531972973,0.16008967308160316,1287
Prog Rev,M1 Baseline,npoprovider_c,-0.19812523063592896,0.08674997156061993,0.02237946151925337,1287
Prog Rev,M1 Baseline,ln_employee,1.580185471171831,0.10660308007702998,1.0391609237318064e-49,1287
Prog Rev,M1 Baseline,ln_assets,0.2144019041392018,0.06317495778508696,0.0006893506359210292,1287
Prog Rev,M1 Baseline,ln_pop_z,0.1909591476033418,0.20230112866381816,0.3452027850450726,1287
Prog Rev,M1 Baseline,pct_foreign_born_z,-0.15945756548737777,0.2184357008599432,0.4653915729666518,1287
Prog Rev,M1 Baseline,ses_index,0.1480540906736209,0.17199049602497507,0.3893332425258492,1287
Prog Rev,M1 Baseline,dem_share_z,0.4608766498425627,0.23029786228152216,0.045368704386946894,1287
Prog Rev,M2 Moderation,imgrnt_support,0.01370790133865945,0.07174166618525737,0.8484683357419368,1287
Prog Rev,M2 Moderation,econ_support,0.1148220936473329,0.15004508560092303,0.4441223266882307,1287
Prog Rev,M2 Moderation,enforce_binary,-0.4234577756369192,0.3280004600645632,0.19669397095320706,1287
Prog Rev,M2 Moderation,npoprovider_c,-0.11352763659939077,0.1397810666526193,0.41668732826486465,1287
Prog Rev,M2 Moderation,imgrnt_support:npoprovider_c,-0.07067407433451725,0.035422627803376926,0.04602461877493153,1287
Prog Rev,M2 Moderation,econ_support:npoprovider_c,-0.06951094744750022,0.09857967509370323,0.4807327398927682,1287
Prog Rev,M2 Moderation,enforce_binary:npoprovider_c,0.17369623253437574,0.15826222077760793,0.27241336986749476,1287
Prog Rev,M2 Moderation,ln_employee,1.5731169390880066,0.10717061546874657,8.836825096978861e-49,1287
Prog Rev,M2 Moderation,ln_assets,0.21597968294052666,0.0639338782625143,0.000729692353688061,1287
Prog Rev,M2 Moderation,ln_pop_z,0.2634136181382065,0.21740858988940828,0.22566312014643986,1287
Prog Rev,M2 Moderation,pct_foreign_born_z,-0.20541292679232492,0.2586753239938643,0.4271398010297077,1287
Prog Rev,M2 Moderation,ses_index,0.17229802431163108,0.16853299056504856,0.3066199886622686,1287
Prog Rev,M2 Moderation,dem_share_z,0.5006884312952103,0.2116190892918833,0.01798198009416411,1287
Prog Rev,M3a Hurdle P1,imgrnt_support,-0.0028643188758230745,0.029062199205788283,0.921489037149549,1287
Prog Rev,M3a Hurdle P1,econ_support,0.050913444898583224,0.06257090301820367,0.41582140291281255,1287
Prog Rev,M3a Hurdle P1,enforce_binary,-0.23111087774603922,0.13614097504662384,0.08958611500920755,1287
Prog Rev,M3a Hurdle P1,npoprovider_c,-0.06044643449897068,0.06256575937884555,0.33398091471099434,1287
Prog Rev,M3a Hurdle P1,imgrnt_support:npoprovider_c,-0.028427054198459985,0.015212989297148375,0.061677914709190346,1287
Prog Rev,M3a Hurdle P1,econ_support:npoprovider_c,-0.009552056162412309,0.04162458396599895,0.8184949929148189,1287
Prog Rev,M3a Hurdle P1,enforce_binary:npoprovider_c,0.04279672669819968,0.07009608912489959,0.5415016941773121,1287
Prog Rev,M3a Hurdle P1,ln_employee,0.5411576590555045,0.05565933136779193,2.413530565706393e-22,1287
Prog Rev,M3a Hurdle P1,ln_assets,0.09507213862977747,0.03565924246186709,0.007673025569805853,1287
Prog Rev,M3a Hurdle P1,ln_pop_z,0.09452100134463212,0.09696047439282168,0.32963936358166446,1287
Prog Rev,M3a Hurdle P1,pct_foreign_born_z,-0.13336825918652914,0.10713953009136562,0.21320194007845028,1287
Prog Rev,M3a Hurdle P1,ses_index,0.05437243824223172,0.07331898376771631,0.458337329359499,1287
Prog Rev,M3a Hurdle P1,dem_share_z,0.27179141658079914,0.09655359592960897,0.004878816965822082,1287
Prog Rev,M3b Hurdle P2,imgrnt_support,0.014094706410466704,0.04687488737006306,0.7636525783706691,647
Prog Rev,M3b Hurdle P2,econ_support,0.010440434874557425,0.07218135205879739,0.884993756214296,647
Prog Rev,M3b Hurdle P2,enforce_binary,0.0756561188371756,0.1877609407308282,0.6869934402442979,647
Prog Rev,M3b Hurdle P2,npoprovider_c,0.013938268978054849,0.07929662974291099,0.8604716632104841,647
Prog Rev,M3b Hurdle P2,imgrnt_support:npoprovider_c,-0.014027403275124242,0.021112394318085644,0.5064243772512222,647
Prog Rev,M3b Hurdle P2,econ_support:npoprovider_c,-0.08106545055256648,0.04982218363198183,0.10371681762629216,647
Prog Rev,M3b Hurdle P2,enforce_binary:npoprovider_c,0.13960405572386925,0.08406250079197741,0.09677022197487051,647
Prog Rev,M3b Hurdle P2,ln_employee,0.5360251152597977,0.05212690023163548,8.399900215965406e-25,647
Prog Rev,M3b Hurdle P2,ln_assets,0.18793893747757384,0.05564020964286852,0.0007308044116142356,647
Prog Rev,M3b Hurdle P2,ln_pop_z,0.23271520571697318,0.13585819328629203,0.08672591850900857,647
Prog Rev,M3b Hurdle P2,pct_foreign_born_z,0.14614443935762986,0.15668615419792536,0.3509641285600207,647
Prog Rev,M3b Hurdle P2,ses_index,0.1233274384401116,0.10621398835629393,0.24559213658796297,647
Prog Rev,M3b Hurdle P2,dem_share_z,-0.13458760849987778,0.1096748671411561,0.21976589159392734,647
